>	a14ce9ab4c2f8f63feebd72b7a26fe35ffceb7a4	2026-08-31	Selective merkleization test case
>	a8c46dace258a194447fe56a66c102465919140c	2026-08-30	Fix and test contract store changes
>	b94360b8069c538b7b1def555d6be152a07f6af0	2026-08-30	Object bundle upload compiles
>	70ddfdc58a3b32cfd89b84590819616cfee06078	2026-08-29	Add bundle upload support
>	b31fbe483e631e638ce05bd5170c34aa0947aa1b	2026-08-28	Fetch fresh era history during tx building
>	ef737897ae9cb6e48cce7e9b2b17a79d263d27c2	2026-08-28	Add thread token handling on the Validator and Runtime level
>	68d8c32314585e956dfef0c100696c5ba3a06d78	2026-08-18	WIP: simple input application implemented and tested
>	85a5302baf0fe0ad260519d7c55553150afacca6	2026-06-16	Test contract state decoding and introduce input application to the marlowe-runtime-cli
>	4a21e8f8b14d6547d31d12951387df948e8a914e	2026-06-15	Minor fixes and build artifacts clean up
>	bce0b38ef41035e54c680b58c50c3e5bbfb97834	2026-06-15	Update nix deps
>	088bceefd9ec93026fab81a41b0a8bae1e4c7c25	2026-06-15	Add marlowe-indexer to the local test env + minor clean up
>	871e2737203d1eeaa39f0dea00828129f3cbc40b	2026-06-15	Ongoing consolidation and integration of the new runtime with the new ts based integration framework
>	cba2546531fc1093299b75523c74b597b70e80f3	2026-05-28	Bump the deps and fix the openapi generation
>	f371f35dc9c1d9d649c40d8e61387e0a2d95847e	2026-05-27	Bump cardano dependencies so we can use Dijkstra
=	8a4587af22c8f756fb482d0577f010066f320055	2026-05-26	First runtime endpoint wiring compiles. Testing in progress.
=	50a23a4eb3926c4803b9c58aeb560c75ce690493	2026-05-25	Start wiring up the create dependency
=	949788831df82947f1c5f625c7ae3f6ce0cc223f	2026-05-25	Switch from wallet's addrs to utxos on the web api level
=	ef9e822891b45aa1cf2050f5d3e6a34a8dc60ad1	2026-05-25	Wire app `marlowe-transactions-cli init` command
=	015ab2b848b07dc5010bf9fb32349df57267b722	2026-05-22	WIP: Transaction creation. Bring in role tokens minting compliation
=	b973fcdc07d03aef15709b6584f5fd3e1ae5a1d1	2026-05-19	WIP: Addition of the Open API server
=	06dcc74b122dfeaa8da9e978deb926101a19c98e	2026-05-19	WIP: porting of the Marlowe Runtime server
=	a8813da520d26035ab1ee051e4749f981727bbef	2026-05-11	Port of the contract-store-api + basic TS based integration framework
=	a3bcf26150e20179349f2c3aac693433ff302af8	2026-05-04	Indexer passes a basic test!
=	384fc562d24a619c4e07f3a441a17ddfd262a85b	2026-04-27	Significant progress on the marlowe-indexer re-wiring
=	2625f3fbbc89151179b35b10063dc3e769be3627	2026-04-14	Ongoing migration
=	b98d0ff5fc4a25f9dc81d33e45d216d756c1a12d	2026-04-13	Migrate marlowe-object and extract variations library
=	029c1a20f48ecfec4cda35a4b3d64d59d28a0f2e	2026-04-13	Ongoing migration
=	778578b7d91f61a0aa3287ab47cc9e387370fe46	2026-04-08	Fix INotify application scenario
=	9b78094c7fe32a7dac3b1382476146a63bf6981e	2026-04-08	Add debugging package. Cleanup the test suite
=	83a10d65ea5cf95885c40ac40cf7981f27898b29	2026-04-08	Add basic solve constraint test
>	0ac5e83b91473777751cf7289d0d946e4918d838	2026-04-06	Nearly working Constraints.hs
=	36f1a24131e3b6c732ea5082a57fa1bebf086210	2026-04-06	Ongoing marlowe-transactions porting
=	1c27e622bf7e8bd00bb922ca040842a49cb75389	2026-04-06	Initial test suite for transactions
=	f0d3eb4f4a05f40f8427efab96b9060986a94332	2026-04-06	Start putting together indexer test suite
>	6b39c21d9cd528a01198c92d07a82684f45a853d	2026-04-04	Bump cardano-api version
=	0e81c2160658946c93ab90559610907783e3df37	2026-04-04	Minor output tweak of `benchmark run` command
=	e3607a988426e2c40e727094413948cc95519a76	2026-04-04	Update and unify the project structure under Marlowe.Plutus
=	b4ef36a52fb7c75c380163db97f32f231aad75f8	2026-04-04	Working compilation and benchmarking pipeline
>	6da0a816229df0c79d046bff85be610ace5cf68a	2026-04-01	Full Marlowe test suite migrated and improved
=	c9cd6e323ab0ad315774a5e87e3bab1074a9cef4	2026-05-26	First runtime endpoint wiring compiles. Testing in progress.
=	0f2d3c49722782f2a0a6a7e1ec0cb29b00d4ec94	2026-05-25	Start wiring up the create dependency
=	ac245011157170481787731639216c415594d274	2026-05-25	Switch from wallet's addrs to utxos on the web api level
=	35fb1c6f7739d88258f6802898b27a74da55fd22	2026-05-25	Wire app `marlowe-transactions-cli init` command
=	5ca65fd327dcda3b44aa83ffe1690ad9388c2277	2026-05-22	WIP: Transaction creation. Bring in role tokens minting compliation
=	2b411a5657dd360494163694da89c30dbecec2b5	2026-05-19	WIP: Addition of the Open API server
=	f8779b8597437f7ccbdcfc4755ff93a9473a21ec	2026-05-19	WIP: porting of the Marlowe Runtime server
=	01aff32abd282cd412f3cdfdd259175413fced5f	2026-05-11	Port of the contract-store-api + basic TS based integration framework
=	54890efca094bccb2f73394e94f7501083ecc419	2026-05-04	Indexer passes a basic test!
=	7de218f63fc94402012d4cc18b9ecc9dbadbc8db	2026-04-27	Significant progress on the marlowe-indexer re-wiring
=	fae5cf4f44dc8335bc0b1b43140285fb90730c82	2026-04-14	Ongoing migration
=	0da21017ab02ac5bf4476ec3981d685f804245a5	2026-04-13	Migrate marlowe-object and extract variations library
=	11785067b236ec8aec2324acb75f1a6dde81496b	2026-04-13	Ongoing migration
=	057aab634338306614aa5dbcd6efe46dbff6048f	2026-04-08	Fix INotify application scenario
=	8aa7eb67b0e3c229019eaaf148dc810294a7025c	2026-04-08	Add debugging package. Cleanup the test suite
=	3eb5288b45142ac20ba99cc64851b3e0a025337c	2026-04-08	Add basic solve constraint test
<	f85fa5798f33502658aeb58159e219f502a6bfae	2026-04-07	Just in case
<	29d9fb74ff3155dddb26b286a0e722a2a144be6f	2026-04-06	Nearly working Constraints.hs
=	a6ce6faafc7db6de5042e5211f3076070e159b6b	2026-04-06	Ongoing marlowe-transactions porting
=	0ed755f1dcd6ec996addb0e2dc40ec1187155245	2026-04-06	Initial test suite for transactions
=	211c334f3a6b37ca5130105f4e74ddf1efa97fe6	2026-04-06	Start putting together indexer test suite
<	599cd154dff44b928ccec3ff5dc0b5065f7b10e7	2026-04-06	Just in case
<	6bca9d11af7599ec1d507de08107cff5e0ebaecd	2026-04-04	Bump cardano-api version
=	ef6f52b64d276959eb225d3c419cb8777efc04c9	2026-04-04	Minor output tweak of `benchmark run` command
=	2a452e38d8d0e2453706a7596ea956a184a44ddc	2026-04-04	Update and unify the project structure under Marlowe.Plutus
=	a27d7dd64ee7cd42d678de54975db6b51ef68690	2026-04-04	Working compilation and benchmarking pipeline
<	a22f9712f5abb733e4f3569e0e544f44f5e66cf5	2026-04-04	Just in case ;-)
<	49e08f078eb53829889a8a790e202f1d692eae8a	2026-04-04	Just in case
<	cbb0defec6d1257be7ac0acb6da151b018cfda13	2026-04-01	Full Marlowe test suite migrated and improved
